SIMULATION_NAME,PRODUCT_GRP,SEGMNT,TOTAL_CUST_ORDER,TOT_CUSTORDER_ALLOCATION,TOT_FORCAST_ORDER,TOT_FCSTORDER_ALLOCATION,TOTAL_ORDER,TOTAL_ALLOCATION,MONTH,PRIORITY,UDC_SEGMENT
MONTHLY_MAX_DEMSAT,GL,RE_DOMESTIC,0,0,1615,1615,1615,1615,01-Apr-25,47,FOC
MONTHLY_MAX_DEMSAT,HR,OE_DOMESTIC,0,0,51599,51399,51599,51399,01-Apr-25,49,STR
MONTHLY_MAX_DEMSAT,RCS,MS_DOMESTIC,0,0,21,21,21,21,01-Apr-25,49,STP
MONTHLY_MAX_DEMSAT,TMT,MS_DOMESTIC,0,0,34,34,34,34,01-Apr-25,50,STR
MONTHLY_MAX_DEMSAT,CRFH,OE_DOMESTIC,0,0,52,31,52,31,01-Apr-25,48,EMG
MONTHLY_MAX_DEMSAT,NOSP,OE_DOMESTIC,0,0,34,34,34,34,01-Apr-25,46,FOC
MONTHLY_MAX_DEMSAT,NOSP,MS_DOMESTIC,0,0,456,456,456,456,01-Apr-25,46,PRY
MONTHLY_MAX_DEMSAT,PPGI,RE_DOMESTIC,0,0,1713,1713,1713,1713,01-Apr-25,46,PRY
MONTHLY_MAX_DEMSAT,TMBP,OE_DOMESTIC,0,0,17,17,17,17,01-Apr-25,48,FOC
MONTHLY_MAX_DEMSAT,HRCTL,SA_DOMESTIC,0,0,38,38,38,38,01-Apr-25,50,STR
MONTHLY_MAX_DEMSAT,HTPRB_BLM,SA_DOMESTIC,0,0,31,31,31,31,01-Apr-25,2000,STR
MONTHLY_MAX_DEMSAT,AS CAST BLOOMS,OE_DOMESTIC,0,0,223,223,223,223,01-Apr-25,2000,STR
MONTHLY_MAX_DEMSAT,GI,SA_DOMESTIC,0,0,1167,1149,1167,1149,01-May-25,2000,STP
MONTHLY_MAX_DEMSAT,HR,SA_DOMESTIC,0,0,8166,8166,8166,8166,01-May-25,2000,STP
MONTHLY_MAX_DEMSAT,HRGI,RE_DOMESTIC,0,0,2181,2168,2181,2168,01-May-25,58,PRY
MONTHLY_MAX_DEMSAT,WR - L,RE_DOMESTIC,0,0,1474,1474,1474,1474,01-May-25,58,FOC
MONTHLY_MAX_DEMSAT,HR,SA_DOMESTIC,574.03,574.029988,0,0,574.03,574.029988,01-Feb-25,2500,EMG
